hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
3916,3543,family,2,12057011410,1,40914,235,-82.55167336445457,28.103372822183672,33625
3916,3546,family,2,12057011410,1,40914,235,-82.55167336445457,28.103372822183672,33625
3919,3556,family,2,12057011410,1,52182,300,-82.55164286037738,28.106064874334383,33625
3919,3563,family,2,12057011410,1,52182,300,-82.55164286037738,28.106064874334383,33625
3920,3568,family,2,12057011410,1,41780,240,-82.55117699809966,28.10421404300765,33625
3920,3570,family,2,12057011410,1,41780,240,-82.55117699809966,28.10421404300765,33625
3922,3571,family,2,12057011410,1,168378,967,-82.55215875337895,28.104269919005564,33625
3922,3574,family,2,12057011410,1,168378,967,-82.55215875337895,28.104269919005564,33625
3924,3578,family,2,12057011410,1,128622,738,-82.55203624599068,28.104746505024288,33625
3924,3581,family,2,12057011410,1,128622,738,-82.55203624599068,28.104746505024288,33625
3924,3582,family,2,12057011410,2,99153,569,-82.55203624599068,28.104746505024288,33625
3924,3588,family,2,12057011410,2,99153,569,-82.55203624599068,28.104746505024288,33625
3925,3593,family,2,12057011410,1,240972,1383,-82.55210171563952,28.105204356427247,33625
3925,3599,family,2,12057011410,1,240972,1383,-82.55210171563952,28.105204356427247,33625
3926,3600,family,2,12057011410,1,197611,1134,-82.55177760730858,28.103786032058185,33625
3926,3605,family,2,12057011410,1,197611,1134,-82.55177760730858,28.103786032058185,33625
3927,3612,family,2,12057011410,1,218815,1256,-82.55125131519044,28.1062464298768,33625
3927,3613,family,2,12057011410,1,218815,1256,-82.55125131519044,28.1062464298768,33625
3928,3617,family,2,12057011410,1,92802,533,-82.55224681653131,28.106062532516944,33625
3928,3619,family,2,12057011410,1,92802,533,-82.55224681653131,28.106062532516944,33625
3933,3623,family,2,12057011410,1,69289,398,-82.55200322829691,28.102625148964755,33625
3933,3626,family,2,12057011410,1,69289,398,-82.55200322829691,28.102625148964755,33625
3933,3636,family,2,12057011410,2,44306,254,-82.55200322829691,28.102625148964755,33625
3933,3639,family,2,12057011410,2,44306,254,-82.55200322829691,28.102625148964755,33625
3974,3643,family,2,12057011410,1,88170,506,-82.55178587869845,28.102930526656387,33625
3974,3650,family,2,12057011410,1,88170,506,-82.55178587869845,28.102930526656387,33625
3975,3656,family,2,12057011410,1,144930,832,-82.55237871884775,28.10293241055264,33625
3975,3664,family,2,12057011410,1,144930,832,-82.55237871884775,28.10293241055264,33625
3975,3668,family,2,12057011410,2,162934,935,-82.55237871884775,28.10293241055264,33625
3975,3674,family,2,12057011410,2,162934,935,-82.55237871884775,28.10293241055264,33625
3977,3676,family,2,12057011410,1,25086,144,-82.55165517770843,28.10200345795633,33625
3977,3677,family,2,12057011410,1,25086,144,-82.55165517770843,28.10200345795633,33625
3980,3681,family,2,12057011410,1,40161,231,-82.55204978983912,28.102316749617263,33625
3980,3684,family,2,12057011410,1,40161,231,-82.55204978983912,28.102316749617263,33625
3981,3687,family,2,12057011410,1,49082,282,-82.55251185294497,28.101440457603047,33625
3981,3692,family,2,12057011410,1,49082,282,-82.55251185294497,28.101440457603047,33625
3982,3701,family,2,12057011410,1,36218,208,-82.55092949897124,28.102742117918023,33625
3982,3702,family,2,12057011410,1,36218,208,-82.55092949897124,28.102742117918023,33625
3984,3703,family,2,12057011410,1,245193,1408,-82.5509717682189,28.10132890402624,33625
3984,3709,family,2,12057011410,1,245193,1408,-82.5509717682189,28.10132890402624,33625
3985,3711,family,2,12057011410,1,239749,1376,-82.55079497316855,28.10177987404995,33625
3985,3713,family,2,12057011410,1,239749,1376,-82.55079497316855,28.10177987404995,33625
3986,3715,family,2,12057011410,1,129827,745,-82.55105961487514,28.10164921014062,33625
3986,3716,family,2,12057011410,1,129827,745,-82.55105961487514,28.10164921014062,33625
3987,3718,family,2,12057011410,1,43297,249,-82.55071854102113,28.1022835429592,33625
3987,3720,family,2,12057011410,1,43297,249,-82.55071854102113,28.1022835429592,33625
3987,3721,family,2,12057011410,2,64507,370,-82.55071854102113,28.1022835429592,33625
