hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
198430,10365,family,2,12057010214,1,53009,304,-82.27019223633648,28.15700903357328,33592
198430,10367,family,2,12057010214,1,53009,304,-82.27019223633648,28.15700903357328,33592
198431,10368,family,2,12057010214,1,37413,215,-82.26649303496984,28.157102048489428,33592
198431,10369,family,2,12057010214,1,37413,215,-82.26649303496984,28.157102048489428,33592
198432,10370,family,2,12057010214,1,18530,106,-82.25533092311869,28.168007945349647,33592
198432,10372,family,2,12057010214,1,18530,106,-82.25533092311869,28.168007945349647,33592
198437,7625,nonfamily,1,12057010214,1,45382,352,-82.26375908164707,28.15774241787063,33592
198440,7626,nonfamily,1,12057010214,1,57791,449,-82.26515882642343,28.159366224572278,33592
198440,7630,nonfamily,1,12057010214,2,18350,142,-82.26515882642343,28.159366224572278,33592
198449,10377,family,2,12057010214,1,53837,309,-82.26343769880624,28.16422387465259,33592
198449,10381,family,2,12057010214,1,53837,309,-82.26343769880624,28.16422387465259,33592
198451,7631,nonfamily,1,12057010214,1,40194,312,-82.26261473692581,28.163617871351203,33592
198451,7633,nonfamily,1,12057010214,2,10146,79,-82.26261473692581,28.163617871351203,33592
198451,7645,nonfamily,1,12057010214,3,54545,423,-82.26261473692581,28.163617871351203,33592
198452,7646,nonfamily,1,12057010214,1,19069,148,-82.26237391994857,28.163324671907333,33592
198452,7649,nonfamily,1,12057010214,2,57406,446,-82.26237391994857,28.163324671907333,33592
198454,7658,nonfamily,1,12057010214,1,34451,267,-82.25995783765792,28.163723313700796,33592
198456,7659,nonfamily,1,12057010214,1,18445,143,-82.25905432143955,28.16367479711827,33592
198457,7660,nonfamily,1,12057010214,1,41223,320,-82.25960826287584,28.165000195333505,33592
198459,7662,nonfamily,1,12057010214,1,31537,245,-82.25679315847468,28.163601590741603,33592
198460,10382,family,2,12057010214,1,83092,477,-82.25915739675835,28.165525916013767,33592
198460,10383,family,2,12057010214,1,83092,477,-82.25915739675835,28.165525916013767,33592
198460,10386,family,2,12057010214,2,23909,137,-82.25915739675835,28.165525916013767,33592
198460,10388,family,2,12057010214,2,23909,137,-82.25915739675835,28.165525916013767,33592
198460,10389,family,2,12057010214,3,15891,91,-82.25915739675835,28.165525916013767,33592
198460,10391,family,2,12057010214,3,15891,91,-82.25915739675835,28.165525916013767,33592
198462,7664,nonfamily,2,12057010214,1,130115,747,-82.2568253636713,28.164902633522374,33592
198462,7665,nonfamily,2,12057010214,1,130115,747,-82.2568253636713,28.164902633522374,33592
198462,7667,nonfamily,2,12057010214,2,40814,234,-82.2568253636713,28.164902633522374,33592
198462,7677,nonfamily,2,12057010214,2,40814,234,-82.2568253636713,28.164902633522374,33592
198463,10394,family,2,12057010214,1,57563,330,-82.2585100799791,28.16715784290224,33592
198463,10395,family,2,12057010214,1,57563,330,-82.2585100799791,28.16715784290224,33592
206539,10396,family,2,12057010214,1,40306,231,-82.27968968449657,28.14618520011468,33592
206539,10398,family,2,12057010214,1,40306,231,-82.27968968449657,28.14618520011468,33592
206540,10399,family,2,12057010214,1,59106,339,-82.27951177993984,28.14660741743608,33592
206540,10400,family,2,12057010214,1,59106,339,-82.27951177993984,28.14660741743608,33592
206548,10401,family,2,12057010214,1,15589,89,-82.28210628101593,28.1421719197824,33592
206548,10402,family,2,12057010214,1,15589,89,-82.28210628101593,28.1421719197824,33592
206549,10403,family,2,12057010214,1,19963,115,-82.28034226760724,28.1423792280324,33592
206549,10404,family,2,12057010214,1,19963,115,-82.28034226760724,28.1423792280324,33592
206551,10406,family,2,12057010214,1,71588,411,-82.28022583377268,28.14383801978835,33592
206551,10407,family,2,12057010214,1,71588,411,-82.28022583377268,28.14383801978835,33592
206784,10409,family,2,12057010214,1,47002,270,-82.2776208186277,28.138907548050987,33592
206784,10410,family,2,12057010214,1,47002,270,-82.2776208186277,28.138907548050987,33592
206786,10411,family,2,12057010214,1,57676,331,-82.27754390893539,28.14035838869709,33592
206786,10414,family,2,12057010214,1,57676,331,-82.27754390893539,28.14035838869709,33592
206787,10417,family,2,12057010214,1,31759,182,-82.27792428258438,28.140927847845543,33592
206787,10420,family,2,12057010214,1,31759,182,-82.27792428258438,28.140927847845543,33592
206788,10421,family,2,12057010214,1,58628,337,-82.27672783480178,28.1401911215057,33592
206788,10423,family,2,12057010214,1,58628,337,-82.27672783480178,28.1401911215057,33592
206789,10424,family,2,12057010214,1,16791,96,-82.27682582259526,28.13933072215628,33592
206789,10425,family,2,12057010214,1,16791,96,-82.27682582259526,28.13933072215628,33592
206789,10427,family,2,12057010214,2,56967,327,-82.27682582259526,28.13933072215628,33592
206789,10428,family,2,12057010214,2,56967,327,-82.27682582259526,28.13933072215628,33592
206790,10430,family,2,12057010214,1,16676,96,-82.27571838585875,28.139870839402395,33592
206790,10433,family,2,12057010214,1,16676,96,-82.27571838585875,28.139870839402395,33592
