hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
403092,836,nonfamily,2,12057006501,1,84969,488,-82.52643562342857,27.90826699356661,33611
403092,837,nonfamily,2,12057006501,1,84969,488,-82.52643562342857,27.90826699356661,33611
403092,839,nonfamily,2,12057006501,2,147282,845,-82.52643562342857,27.90826699356661,33611
403092,843,nonfamily,2,12057006501,2,147282,845,-82.52643562342857,27.90826699356661,33611
403093,3711,family,2,12057006501,1,124483,715,-82.52615519963139,27.90856948645,33611
403093,3713,family,2,12057006501,1,124483,715,-82.52615519963139,27.90856948645,33611
403094,3715,family,2,12057006501,1,139681,802,-82.52596509904309,27.908568274643716,33611
403094,3716,family,2,12057006501,1,139681,802,-82.52596509904309,27.908568274643716,33611
403095,3718,family,2,12057006501,1,37377,215,-82.52577314079136,27.90856913005476,33611
403095,3720,family,2,12057006501,1,37377,215,-82.52577314079136,27.90856913005476,33611
403096,3721,family,2,12057006501,1,137630,790,-82.52557932522993,27.90856694821249,33611
403096,3725,family,2,12057006501,1,137630,790,-82.52557932522993,27.90856694821249,33611
403097,3727,family,2,12057006501,1,93251,535,-82.52538606859851,27.908567090591525,33611
403097,3728,family,2,12057006501,1,93251,535,-82.52538606859851,27.908567090591525,33611
403098,3733,family,2,12057006501,1,18370,105,-82.52519180186786,27.90856612281244,33611
403098,3736,family,2,12057006501,1,18370,105,-82.52519180186786,27.90856612281244,33611
403099,3743,family,2,12057006501,1,27229,156,-82.52500038984729,27.908566533241725,33611
403099,3752,family,2,12057006501,1,27229,156,-82.52500038984729,27.908566533241725,33611
403101,3755,family,2,12057006501,1,49524,284,-82.52461778419806,27.908564318402448,33611
403101,3757,family,2,12057006501,1,49524,284,-82.52461778419806,27.908564318402448,33611
403102,3758,family,2,12057006501,1,23007,132,-82.52442026598827,27.90856423050426,33611
403102,3761,family,2,12057006501,1,23007,132,-82.52442026598827,27.90856423050426,33611
403103,3764,family,2,12057006501,1,26294,151,-82.52422745495954,27.908562824769906,33611
403103,3769,family,2,12057006501,1,26294,151,-82.52422745495954,27.908562824769906,33611
403104,3770,family,2,12057006501,1,122792,705,-82.52403688415679,27.908562681954063,33611
403104,3772,family,2,12057006501,1,122792,705,-82.52403688415679,27.908562681954063,33611
403105,3774,family,2,12057006501,1,129997,746,-82.52384547045217,27.90856226054076,33611
403105,3783,family,2,12057006501,1,129997,746,-82.52384547045217,27.90856226054076,33611
