hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
328641,3543,family,2,12057012401,1,13846,79,-82.19827646421597,28.02603691542019,33566
328641,3546,family,2,12057012401,1,13846,79,-82.19827646421597,28.02603691542019,33566
328643,3556,family,2,12057012401,1,35485,204,-82.19614626873103,28.02551516561024,33566
328643,3563,family,2,12057012401,1,35485,204,-82.19614626873103,28.02551516561024,33566
328644,3568,family,2,12057012401,1,30646,176,-82.19611423592563,28.026296998005414,33566
328644,3570,family,2,12057012401,1,30646,176,-82.19611423592563,28.026296998005414,33566
328647,3571,family,2,12057012401,1,2111,12,-82.19873202249444,28.02554684252468,33566
328647,3574,family,2,12057012401,1,2111,12,-82.19873202249444,28.02554684252468,33566
328648,3578,family,2,12057012401,1,22564,130,-82.19560705989265,28.02535600860273,33566
328648,3581,family,2,12057012401,1,22564,130,-82.19560705989265,28.02535600860273,33566
328649,3582,family,2,12057012401,1,5267,30,-82.19555385981688,28.02613300475285,33566
328649,3588,family,2,12057012401,1,5267,30,-82.19555385981688,28.02613300475285,33566
328649,3593,family,2,12057012401,2,32098,184,-82.19555385981688,28.02613300475285,33566
328649,3599,family,2,12057012401,2,32098,184,-82.19555385981688,28.02613300475285,33566
328656,3600,family,2,12057012401,1,38809,223,-82.19734495293898,28.02600870746904,33566
328656,3605,family,2,12057012401,1,38809,223,-82.19734495293898,28.02600870746904,33566
328657,3612,family,2,12057012401,1,16709,96,-82.19781615139847,28.02602003509153,33566
328657,3613,family,2,12057012401,1,16709,96,-82.19781615139847,28.02602003509153,33566
328660,3617,family,2,12057012401,1,12976,74,-82.19676866713358,28.026230620893084,33566
328660,3619,family,2,12057012401,1,12976,74,-82.19676866713358,28.026230620893084,33566
328664,3623,family,2,12057012401,1,17825,102,-82.19685274157547,28.025405669061566,33566
328664,3626,family,2,12057012401,1,17825,102,-82.19685274157547,28.025405669061566,33566
328665,3636,family,2,12057012401,1,133936,769,-82.19652310574732,28.025408040686862,33566
328665,3639,family,2,12057012401,1,133936,769,-82.19652310574732,28.025408040686862,33566
328691,3643,family,2,12057012401,1,33025,190,-82.20315620601039,28.025738204947228,33566
328691,3650,family,2,12057012401,1,33025,190,-82.20315620601039,28.025738204947228,33566
328691,3656,family,2,12057012401,2,188664,1083,-82.20315620601039,28.025738204947228,33566
328691,3664,family,2,12057012401,2,188664,1083,-82.20315620601039,28.025738204947228,33566
328692,3668,family,2,12057012401,1,58009,333,-82.20136278174404,28.025434128004918,33566
328692,3674,family,2,12057012401,1,58009,333,-82.20136278174404,28.025434128004918,33566
328693,3676,family,2,12057012401,1,144246,828,-82.20266786471855,28.02557032224358,33566
328693,3677,family,2,12057012401,1,144246,828,-82.20266786471855,28.02557032224358,33566
328695,3681,family,2,12057012401,1,35238,202,-82.20289910574289,28.02662875199798,33566
328695,3684,family,2,12057012401,1,35238,202,-82.20289910574289,28.02662875199798,33566
328695,3687,family,2,12057012401,2,232192,1333,-82.20289910574289,28.02662875199798,33566
328695,3692,family,2,12057012401,2,232192,1333,-82.20289910574289,28.02662875199798,33566
328708,3701,family,2,12057012401,1,12214,70,-82.19089978541284,28.02548531737105,33566
328708,3702,family,2,12057012401,1,12214,70,-82.19089978541284,28.02548531737105,33566
328712,3703,family,2,12057012401,1,37254,214,-82.1903866336692,28.0254870273189,33566
328712,3709,family,2,12057012401,1,37254,214,-82.1903866336692,28.0254870273189,33566
328713,3711,family,2,12057012401,1,188800,1084,-82.18822480173425,28.025517588187117,33566
328713,3713,family,2,12057012401,1,188800,1084,-82.18822480173425,28.025517588187117,33566
328714,3715,family,2,12057012401,1,54950,315,-82.18856330787374,28.02554201475153,33566
328714,3716,family,2,12057012401,1,54950,315,-82.18856330787374,28.02554201475153,33566
328715,3718,family,2,12057012401,1,216633,1244,-82.18892428901987,28.02557462875489,33566
328715,3720,family,2,12057012401,1,216633,1244,-82.18892428901987,28.02557462875489,33566
328716,3721,family,2,12057012401,1,82840,476,-82.19068353197213,28.026046244178524,33566
328716,3725,family,2,12057012401,1,82840,476,-82.19068353197213,28.026046244178524,33566
329377,2579,family,2,12057012501,1,26887,154,-82.17844215262663,28.01884561914185,33566
329377,2580,family,2,12057012501,1,26887,154,-82.17844215262663,28.01884561914185,33566
329378,2581,family,2,12057012501,1,32746,188,-82.17844239676148,28.0192814591794,33566
329378,2582,family,2,12057012501,1,32746,188,-82.17844239676148,28.0192814591794,33566
