hid,occupant,htype,hsize,geoid,Floor,income,FPL,x,y,ZIP
105902,25919,family,2,12057014121,1,75133,431,-82.47553791504934,27.74140500842299,33570
105902,25925,family,2,12057014121,1,75133,431,-82.47553791504934,27.74140500842299,33570
105902,25932,family,2,12057014121,2,108628,624,-82.47553791504934,27.74140500842299,33570
105902,25935,family,2,12057014121,2,108628,624,-82.47553791504934,27.74140500842299,33570
105903,25936,family,2,12057014121,1,8158,47,-82.47589722872178,27.73977806859984,33570
105903,25939,family,2,12057014121,1,8158,47,-82.47589722872178,27.73977806859984,33570
105903,25945,family,2,12057014121,2,43281,248,-82.47589722872178,27.73977806859984,33570
105903,25949,family,2,12057014121,2,43281,248,-82.47589722872178,27.73977806859984,33570
105905,25952,family,2,12057014121,1,65115,374,-82.47653984647047,27.735743990560067,33570
105905,25958,family,2,12057014121,1,65115,374,-82.47653984647047,27.735743990560067,33570
105905,25959,family,2,12057014121,2,29718,171,-82.47653984647047,27.735743990560067,33570
105905,25968,family,2,12057014121,2,29718,171,-82.47653984647047,27.735743990560067,33570
105907,25982,family,2,12057014121,1,44562,256,-82.48098264575945,27.74296954757125,33570
105907,25987,family,2,12057014121,1,44562,256,-82.48098264575945,27.74296954757125,33570
105907,25988,family,2,12057014121,2,30031,172,-82.48098264575945,27.74296954757125,33570
105907,25990,family,2,12057014121,2,30031,172,-82.48098264575945,27.74296954757125,33570
105918,25992,family,2,12057014121,1,83389,479,-82.45392513383055,27.72515789990652,33570
105918,25993,family,2,12057014121,1,83389,479,-82.45392513383055,27.72515789990652,33570
105919,26003,family,2,12057014121,1,113526,652,-82.45392675741026,27.724992897827864,33570
105919,26004,family,2,12057014121,1,113526,652,-82.45392675741026,27.724992897827864,33570
105920,26006,family,2,12057014121,1,96658,555,-82.45392855693272,27.72482786536527,33570
105920,26008,family,2,12057014121,1,96658,555,-82.45392855693272,27.72482786536527,33570
105921,26010,family,2,12057014121,1,190783,1095,-82.45393035654679,27.72466283279107,33570
105921,26012,family,2,12057014121,1,190783,1095,-82.45393035654679,27.72466283279107,33570
105921,26014,family,2,12057014121,2,109325,628,-82.45393035654679,27.72466283279107,33570
105921,26016,family,2,12057014121,2,109325,628,-82.45393035654679,27.72466283279107,33570
105922,26021,family,2,12057014121,1,139928,803,-82.45393215531126,27.7244977999775,33570
105922,26023,family,2,12057014121,1,139928,803,-82.45393215531126,27.7244977999775,33570
105922,26024,family,2,12057014121,2,51616,296,-82.45393215531126,27.7244977999775,33570
105922,26026,family,2,12057014121,2,51616,296,-82.45393215531126,27.7244977999775,33570
105923,26034,family,2,12057014121,1,144067,827,-82.45393410344967,27.7243190142462,33570
105923,26039,family,2,12057014121,1,144067,827,-82.45393410344967,27.7243190142462,33570
105924,26051,family,2,12057014121,1,137071,787,-82.45393619881939,27.72412647634841,33570
105924,26060,family,2,12057014121,1,137071,787,-82.45393619881939,27.72412647634841,33570
105925,26064,family,2,12057014121,1,69425,399,-82.45393411845414,27.723928001327817,33570
105925,26065,family,2,12057014121,1,69425,399,-82.45393411845414,27.723928001327817,33570
105926,26070,family,2,12057014121,1,16720,96,-82.45394270275003,27.72371667543584,33570
